customer_id,arm,propensity_score,predicted_label,contacted,contact_date,label_window_start,label_window_end,converted,conversion_date
KH020397,A,0.7289,1,1,2025-07-08,2025-07-01,2025-09-30,0,
KH023847,A,0.7381,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-22
KH022380,A,0.9647,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-08-29
KH021843,A,0.3244,1,1,2025-07-12,2025-07-01,2025-09-30,0,
KH023817,A,0.8273,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-03
KH024117,A,0.9908,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-09-26
KH020341,A,0.9779,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-26
KH020656,A,0.5644,1,1,2025-07-15,2025-07-01,2025-09-30,0,
KH021219,A,0.8764,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-04
KH022626,A,0.7836,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-10
KH022981,A,0.9935,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-09-10
KH021225,A,0.6107,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-17
KH024123,A,0.984,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-26
KH024594,A,0.9923,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-09-24
KH024570,A,0.9498,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-16
KH020576,A,0.2434,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-07-05
KH023228,A,0.4681,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-14
KH024381,A,0.9908,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-17
KH022764,A,0.6107,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-09-15
KH024651,A,0.6486,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-21
KH022606,A,0.6643,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-23
KH020263,A,0.9869,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-08-12
KH022420,A,0.9919,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-01
KH024579,A,0.8098,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-24
KH024918,A,0.568,1,1,2025-07-12,2025-07-01,2025-09-30,0,
KH020441,A,0.3982,1,1,2025-07-13,2025-07-01,2025-09-30,0,
KH020858,A,0.8389,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-28
KH022138,A,0.9008,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-30
KH022977,A,0.9759,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-09-27
KH023560,A,0.9703,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-01
KH024904,A,0.9127,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-09-15
KH024849,A,0.8287,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-09-08
KH022796,A,0.7655,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-08-31
KH024419,A,0.9808,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-13
KH023915,A,0.8757,1,1,2025-07-08,2025-07-01,2025-09-30,0,
KH024015,A,0.3727,1,1,2025-07-06,2025-07-01,2025-09-30,0,
KH020833,A,0.9783,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-08-31
KH021820,A,0.9387,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-12
KH020518,A,0.9467,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-07-03
KH024868,A,0.4893,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-25
KH023095,A,0.9492,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-02
KH024919,A,0.5013,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-25
KH022849,A,0.459,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-01
KH020696,A,0.5733,1,1,2025-07-03,2025-07-01,2025-09-30,0,
KH020166,A,0.4735,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-01
KH024630,A,0.4767,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-09-06
KH024018,A,0.5445,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH021726,A,0.9803,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-07
KH024617,A,0.989,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-09-08
KH024800,A,0.4079,1,1,2025-07-06,2025-07-01,2025-09-30,0,
KH024230,A,0.5132,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-28
KH023711,A,0.4304,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-07-03
KH020497,A,0.9927,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-08-05
KH024509,A,0.6694,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-19
KH022092,A,0.4239,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-08-21
KH024154,A,0.3113,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-08
KH020371,A,0.7011,1,1,2025-07-02,2025-07-01,2025-09-30,0,
KH024893,A,0.7275,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-09-27
KH020442,A,0.6169,1,1,2025-07-02,2025-07-01,2025-09-30,0,
KH024696,A,0.9657,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-07-07
KH023494,A,0.6982,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-29
KH020537,A,0.9208,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-17
KH022041,A,0.4781,1,1,2025-07-14,2025-07-01,2025-09-30,0,
KH023395,A,0.8773,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-09
KH023160,A,0.3564,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH021175,A,0.5564,1,1,2025-07-03,2025-07-01,2025-09-30,0,
KH021496,A,0.9711,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-07-24
KH023757,A,0.9901,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-09-10
KH020570,A,0.9885,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-09-22
KH024290,A,0.9666,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-09-27
KH022248,A,0.8123,1,1,2025-07-03,2025-07-01,2025-09-30,0,
KH024544,A,0.924,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-20
KH020457,A,0.7998,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-18
KH024421,A,0.569,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-02
KH020024,A,0.9859,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-21
KH024398,A,0.992,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-08
KH021140,A,0.3891,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-08-02
KH023708,A,0.977,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-09-24
KH020932,A,0.6083,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-30
KH024339,A,0.7011,1,1,2025-07-06,2025-07-01,2025-09-30,0,
KH020887,A,0.8554,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-27
KH020562,A,0.9023,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-30
KH023898,A,0.5537,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-02
KH023083,A,0.9746,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-30
KH023488,A,0.9932,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-02
KH024430,A,0.5221,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-13
KH020850,A,0.4872,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-15
KH023507,A,0.5603,1,1,2025-07-05,2025-07-01,2025-09-30,0,
KH022037,A,0.8131,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-24
KH023021,A,0.9888,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-22
KH023503,A,0.9117,1,1,2025-07-15,2025-07-01,2025-09-30,0,
KH020854,A,0.7266,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-23
KH022095,A,0.3527,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH024892,A,0.9662,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-25
KH020928,A,0.3587,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-08-27
KH023007,A,0.9818,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-24
KH022891,A,0.9777,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-24
KH023653,A,0.9836,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-27
KH020721,A,0.5209,1,1,2025-07-10,2025-07-01,2025-09-30,0,
KH022397,A,0.6571,1,1,2025-07-01,2025-07-01,2025-09-30,0,
KH023347,A,0.4826,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH021222,A,0.8646,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-26
KH022532,A,0.962,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-24
KH020893,A,0.7629,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-07
KH020027,A,0.9021,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-07-20
KH020191,A,0.718,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-16
KH022254,A,0.5673,1,1,2025-07-14,2025-07-01,2025-09-30,0,
KH024774,A,0.9698,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-04
KH024196,A,0.926,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-08-20
KH020810,A,0.2771,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH022187,A,0.5805,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-27
KH023642,A,0.3284,1,1,2025-07-10,2025-07-01,2025-09-30,0,
KH023597,A,0.3576,1,1,2025-07-04,2025-07-01,2025-09-30,0,
KH020999,A,0.6018,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-08-29
KH021152,A,0.3714,1,1,2025-07-05,2025-07-01,2025-09-30,0,
KH022024,A,0.9527,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-05
KH023695,A,0.3136,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH021482,A,0.7741,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-16
KH021111,A,0.7807,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-21
KH020947,A,0.9822,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-30
KH020593,A,0.961,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-01
KH023732,A,0.9904,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-24
KH021066,A,0.9898,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-08-31
KH021344,A,0.9753,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-12
KH020985,A,0.9036,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-01
KH020510,A,0.8388,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-08-17
KH021233,A,0.9838,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-07-01
KH022830,A,0.3201,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-01
KH020565,A,0.9425,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-09-05
KH021751,A,0.9764,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-20
KH024754,A,0.4796,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-29
KH022651,A,0.5714,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-16
KH020075,A,0.9753,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-31
KH024127,A,0.9818,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-16
KH021968,A,0.6922,1,1,2025-07-10,2025-07-01,2025-09-30,0,
KH021384,A,0.8478,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-02
KH023215,A,0.8704,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-07-23
KH020305,A,0.9194,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-09-07
KH022781,A,0.5984,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-10
KH024490,A,0.9023,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-01
KH024372,A,0.7772,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-07-04
KH023400,A,0.8765,1,1,2025-07-08,2025-07-01,2025-09-30,0,
KH024964,A,0.6117,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-01
KH021583,A,0.2623,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-12
KH022541,A,0.993,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-02
KH023415,A,0.9753,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-12
KH022499,A,0.5552,1,1,2025-07-05,2025-07-01,2025-09-30,0,
KH021708,A,0.5863,1,1,2025-07-01,2025-07-01,2025-09-30,0,
KH022758,A,0.9901,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-29
KH020609,A,0.9849,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-15
KH022832,A,0.7844,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-04
KH021860,A,0.7843,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-08
KH020776,A,0.4476,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-28
KH020716,A,0.5932,1,1,2025-07-14,2025-07-01,2025-09-30,0,
KH023067,A,0.9238,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-27
KH023462,A,0.9803,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-09-13
KH022622,A,0.9711,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-27
KH021117,A,0.9893,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-05
KH020694,A,0.9941,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-24
KH023892,A,0.9042,1,1,2025-07-03,2025-07-01,2025-09-30,0,
KH020189,A,0.5697,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-24
KH022766,A,0.8265,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH021590,A,0.7679,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-24
KH020086,A,0.819,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-30
KH020315,A,0.7161,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-22
KH021083,A,0.5046,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-28
KH022390,A,0.9668,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-12
KH022456,A,0.7129,1,1,2025-07-13,2025-07-01,2025-09-30,0,
KH022591,A,0.8991,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-28
KH020529,A,0.9905,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-21
KH021090,A,0.9907,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-16
KH023770,A,0.5358,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-12
KH020245,A,0.7179,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-09-23
KH024738,A,0.9718,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-07-16
KH021697,A,0.5173,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-22
KH024926,A,0.9826,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-14
KH021921,A,0.8588,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-08-04
KH023123,A,0.5745,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-13
KH020012,A,0.4409,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-07-09
KH023990,A,0.9925,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-17
KH024935,A,0.9759,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-15
KH022590,A,0.9913,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-09
KH022779,A,0.9904,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-04
KH023329,A,0.8995,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-07
KH023743,A,0.8505,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-03
KH021515,A,0.3158,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-09-09
KH023102,A,0.9573,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-05
KH021435,A,0.5466,1,1,2025-07-06,2025-07-01,2025-09-30,0,
KH023591,A,0.3636,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-23
KH023341,A,0.96,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-28
KH021956,A,0.9244,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-05
KH021631,A,0.9593,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-27
KH020152,A,0.5088,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-08-30
KH024866,A,0.7721,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-07-01
KH023162,A,0.9622,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-31
KH020845,A,0.5187,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-07-25
KH021004,A,0.4477,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-07-06
KH022425,A,0.9285,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-08-01
KH020008,A,0.577,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-21
KH023188,A,0.987,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-08-05
KH022408,A,0.8356,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-08-26
KH021595,A,0.9852,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-18
KH023495,A,0.4269,1,1,2025-07-14,2025-07-01,2025-09-30,0,
KH021985,A,0.812,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-03
KH024267,A,0.9927,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-07-12
KH021965,A,0.9737,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-09-10
KH024213,A,0.9579,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-07-28
KH022797,A,0.9874,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-08-05
KH021113,A,0.6203,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-08-29
KH023976,A,0.9922,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-10
KH020894,A,0.399,1,1,2025-07-04,2025-07-01,2025-09-30,1,2025-09-01
KH020679,A,0.5298,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-22
KH020504,A,0.9854,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-07-29
KH022513,A,0.7445,1,1,2025-07-13,2025-07-01,2025-09-30,0,
KH024478,A,0.9481,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-07
KH020107,A,0.9199,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-07-10
KH023556,A,0.6856,1,1,2025-07-08,2025-07-01,2025-09-30,0,
KH023143,A,0.6069,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-02
KH021673,A,0.9177,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-08-18
KH021805,A,0.9901,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-09-01
KH023741,A,0.8832,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH020309,A,0.9848,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-02
KH020334,A,0.6235,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-07-01
KH021074,A,0.913,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-06
KH021785,A,0.9923,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-05
KH023428,A,0.5913,1,1,2025-07-06,2025-07-01,2025-09-30,0,
KH020717,A,0.5264,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH024876,A,0.992,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-09-21
KH022514,A,0.8455,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-09-11
KH022434,A,0.6601,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-14
KH024589,A,0.9889,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-09-03
KH021161,A,0.9517,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-03
KH020800,A,0.5441,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-08
KH021505,A,0.9425,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-08-23
KH020413,A,0.438,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-08-19
KH022950,A,0.8892,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-05
KH022676,A,0.9844,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-26
KH023107,A,0.5593,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-16
KH023166,A,0.6054,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH024448,A,0.253,1,1,2025-07-05,2025-07-01,2025-09-30,0,
KH023012,A,0.6299,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-08-07
KH024189,A,0.3076,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-08-19
KH021621,A,0.4548,1,1,2025-07-02,2025-07-01,2025-09-30,0,
KH023512,A,0.9399,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-09-01
KH020930,A,0.9889,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-08-07
KH020523,A,0.9834,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-07-30
KH021555,A,0.9774,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-19
KH023142,A,0.8635,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-10
KH024151,A,0.3805,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-07-17
KH020661,A,0.9954,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-09-07
KH024515,A,0.9544,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-09-04
KH022372,A,0.7922,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-12
KH022347,A,0.7945,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-23
KH024819,A,0.9257,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-09-13
KH023563,A,0.9613,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-07-04
KH020734,A,0.95,1,1,2025-07-08,2025-07-01,2025-09-30,1,2025-07-25
KH024776,A,0.9687,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-27
KH020811,A,0.6649,1,1,2025-07-13,2025-07-01,2025-09-30,0,
KH024856,A,0.4127,1,1,2025-07-13,2025-07-01,2025-09-30,0,
KH020143,A,0.9625,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-09-20
KH024416,A,0.8068,1,1,2025-07-12,2025-07-01,2025-09-30,1,2025-07-22
KH022771,A,0.6913,1,1,2025-07-05,2025-07-01,2025-09-30,1,2025-07-05
KH022006,A,0.4251,1,1,2025-07-09,2025-07-01,2025-09-30,0,
KH022724,A,0.9509,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-09-16
KH024869,A,0.9562,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-09-11
KH024249,A,0.6412,1,1,2025-07-10,2025-07-01,2025-09-30,0,
KH020030,A,0.3201,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-08-25
KH021880,A,0.9943,1,1,2025-07-14,2025-07-01,2025-09-30,1,2025-08-17
KH022638,A,0.5273,1,1,2025-07-13,2025-07-01,2025-09-30,1,2025-08-05
KH021112,A,0.9935,1,1,2025-07-01,2025-07-01,2025-09-30,1,2025-08-21
KH021335,A,0.906,1,1,2025-07-15,2025-07-01,2025-09-30,1,2025-08-25
KH022637,A,0.9078,1,1,2025-07-06,2025-07-01,2025-09-30,1,2025-07-28
KH022578,A,0.2572,1,1,2025-07-07,2025-07-01,2025-09-30,0,
KH021129,A,0.9846,1,1,2025-07-02,2025-07-01,2025-09-30,1,2025-07-14
KH023312,A,0.8018,1,1,2025-07-11,2025-07-01,2025-09-30,1,2025-07-07
KH023528,A,0.989,1,1,2025-07-03,2025-07-01,2025-09-30,1,2025-07-18
KH024975,A,0.8382,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-15
KH024655,A,0.9882,1,1,2025-07-09,2025-07-01,2025-09-30,1,2025-07-28
KH024640,A,0.6722,1,1,2025-07-10,2025-07-01,2025-09-30,1,2025-07-17
KH023366,A,0.9846,1,1,2025-07-07,2025-07-01,2025-09-30,1,2025-08-13
KH024995,A,0.5153,1,1,2025-07-09,2025-07-01,2025-09-30,0,
